AddressId,AddressLabel,BuildingNumber,StreetDirection,StreetName,StreetType,ExtensionWithUnit,UnitType,UnitValue,ZipCode,Mailable,StatePlaneX,StatePlaneY,Latitude,Longitude,ID,Name,AddressBase,AddressExtension
1049272,1030 W Franklin St Apt 22,1030,W,Franklin,St,,Apt,22,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 22
1049273,1030 W Franklin St Apt 23,1030,W,Franklin,St,,Apt,23,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 23
1049274,1030 W Franklin St Apt 24,1030,W,Franklin,St,,Apt,24,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 24
1049276,1030 W Franklin St Apt 26,1030,W,Franklin,St,,Apt,26,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 26
1049277,1030 W Franklin St Apt 27,1030,W,Franklin,St,,Apt,27,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 27
1049278,1030 W Franklin St Apt 28,1030,W,Franklin,St,,Apt,28,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 28
1049279,1030 W Franklin St Apt 3,1030,W,Franklin,St,,Apt,3,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 3
1049280,1030 W Franklin St Apt 31,1030,W,Franklin,St,,Apt,31,23220,Yes,11785833.7109454,3725864.66577627,37.55103169,-77.4550669,0350,Fan District Association,1030 W Franklin St,Apt 31
1051159,1108 W Grace St Apt 1,1108,W,Grace,St,,Apt,1,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 1
1051160,1108 W Grace St Apt 10,1108,W,Grace,St,,Apt,10,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 10
1051161,1108 W Grace St Apt 11,1108,W,Grace,St,,Apt,11,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 11
1049227,1012 W Franklin St Apt 2,1012,W,Franklin,St,,Apt,2,23220,Yes,11786061.5631799,3725710.59915528,37.55060166,-77.45428686,0350,Fan District Association,1012 W Franklin St,Apt 2
1049228,1012 W Franklin St Apt 3,1012,W,Franklin,St,,Apt,3,23220,Yes,11786061.5631799,3725710.59915528,37.55060166,-77.45428686,0350,Fan District Association,1012 W Franklin St,Apt 3
1049229,1012 W Franklin St Apt 4,1012,W,Franklin,St,,Apt,4,23220,Yes,11786061.5631799,3725710.59915528,37.55060166,-77.45428686,0350,Fan District Association,1012 W Franklin St,Apt 4
1049230,1012 W Franklin St Apt 5,1012,W,Franklin,St,,Apt,5,23220,Yes,11786061.5631799,3725710.59915528,37.55060166,-77.45428686,0350,Fan District Association,1012 W Franklin St,Apt 5
1051162,1108 W Grace St Apt 12,1108,W,Grace,St,,Apt,12,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 12
1051169,1108 W Grace St Apt 8,1108,W,Grace,St,,Apt,8,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 8
1051170,1108 W Grace St Apt 9,1108,W,Grace,St,,Apt,9,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 9
1051163,1108 W Grace St Apt 2,1108,W,Grace,St,,Apt,2,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 2
1051164,1108 W Grace St Apt 3,1108,W,Grace,St,,Apt,3,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 3
1051165,1108 W Grace St Apt 4,1108,W,Grace,St,,Apt,4,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 4
1051166,1108 W Grace St Apt 5,1108,W,Grace,St,,Apt,5,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 5
1051167,1108 W Grace St Apt 6,1108,W,Grace,St,,Apt,6,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 6
1051168,1108 W Grace St Apt 7,1108,W,Grace,St,,Apt,7,23220,Yes,11785793.7084007,3726387.85272202,37.55246969,-77.45518491,0350,Fan District Association,1108 W Grace St,Apt 7
1051191,1120 W Grace St Apt 1,1120,W,Grace,St,,Apt,1,23220,Yes,11785744.2081716,3726423.72797835,37.55256972,-77.45535428,0350,Fan District Association,1120 W Grace St,Apt 1
1051192,1120 W Grace St Apt 10,1120,W,Grace,St,,Apt,10,23220,Yes,11785744.2081716,3726423.72797835,37.55256972,-77.45535428,0350,Fan District Association,1120 W Grace St,Apt 10
1051193,1120 W Grace St Apt 11,1120,W,Grace,St,,Apt,11,23220,Yes,11785744.2081716,3726423.72797835,37.55256972,-77.45535428,0350,Fan District Association,1120 W Grace St,Apt 11
1051194,1120 W Grace St Apt 12,1120,W,Grace,St,,Apt,12,23220,Yes,11785744.2081716,3726423.72797835,37.55256972,-77.45535428,0350,Fan District Association,1120 W Grace St,Apt 12
1051195,1120 W Grace St Apt 14,1120,W,Grace,St,,Apt,14,23220,Yes,11785744.2081716,3726423.72797835,37.55256972,-77.45535428,0350,Fan District Association,1120 W Grace St,Apt 14
