OBJECTID,ID,Name,District,Class,CreatedBy,CreatedDate,EditBy,EditDate,GlobalID,Shape__Area,Shape__Length
14,BRSC,Broad Rock Sports Complex,Broad Rock,3,richmondvagis,1572900161564,richmondvagis,1572900161564,2443f01c-3c7d-43cb-b31a-01f3b313ed64,3024636.4765625,7629.53932578246
15,BRKB,Brookbury,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,79bf8d1b-3f2b-4b0f-97d0-5a4dc6be085a,10276043.9296875,16808.8088913534
16,BHRM,Brookhaven Farms,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,bfa178d2-7079-4af9-b463-eb113202921f,4021118.3359375,10099.1524157682
17,BRKP,Brookland Park,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,792eff76-dce8-4765-9fc5-121f47f3ab7c,7294855.1171875,11394.8204760969
18,BRNP,Bryan Park,North,3,richmondvagis,1572900161564,richmondvagis,1572900161564,f119d2f2-5fea-40c3-b35b-f080acfd09ed,15438689.125,17207.4695423933
19,BYDP,Byrd Park,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,7801d99e-6b9d-4fbd-8676-4a2b258637d8,11599417.4257813,15002.1733947834
20,CAP,Capitol District,Downtown,2,richmondvagis,1572900161564,richmondvagis,1572900161564,fb71f402-b725-440e-a5c7-7f0ee985d485,4145811.31640625,10661.571145503
21,CARN,Carillon,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,6376abd2-0c19-49d9-a0a2-b76eb35ea996,19718305.4414063,20260.3116273583
22,CRVR,Carver,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,0c350489-2b80-465f-b6a3-46c19c211ebf,6262403.91796875,10284.5149619752
23,CARY,Carytown,Near West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,19bd03e5-60cd-4609-a7f1-9bb5c77b0689,6537313.67578125,13290.4865369186
24,CDHT,Cedarhurst,Midlothian,1,richmondvagis,1572900161564,richmondvagis,1572900161564,3f561bf5-d7e5-405a-a981-7e6c0c0aea0e,13735083.1484375,16649.8004125642
25,CENT,Central Office,Downtown,2,richmondvagis,1572900161564,richmondvagis,1572900161564,06322940-002a-43b7-b7e9-12dc6b736524,3604105.703125,8556.98725802621
26,CHIC,Chamberlayne Industrial Center,North,2,richmondvagis,1572900161564,richmondvagis,1572900161564,d81f49b0-343a-42fb-8ed3-cae8f3b2edc1,11684318.1835938,17480.9968587647
27,CHGD,Cherry Gardens,Broad Rock,1,richmondvagis,1572900161564,richmondvagis,1572900161564,49e53ae4-74e0-498f-9688-1457e22f3dca,2898611.4296875,9787.18961143575
28,CHBZ,Chimborazo,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,c712c2bb-9761-4045-b8d4-290544b4e0d8,8465054.859375,12753.9489192804
29,CHFT,Chippenham Forest,Huguenot,1,richmondvagis,1572900161564,richmondvagis,1572900161564,4fca3075-de5a-4894-b522-0306fe0f4a74,9158860.16796875,14149.8271080562
30,CH,Church Hill,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,6309150a-6fac-42fd-9feb-a67fa910a11d,9474011.01953125,15177.052695942
31,CHN,Church Hill North,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a16ebe79-0a5e-4c96-820f-f915d8b817cd,10607409.6835938,14391.0482604475
32,CC,City Center,Downtown,2,richmondvagis,1572900161564,richmondvagis,1572900161564,c3369b42-486b-4638-9dbb-26c5c14034f1,4823719.9375,10324.830538592
